"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","Adactin login","chromium","2026-04-09","failed","2026-04-09","","AdactinloginFixture.spec.js","",""
"","4","get started link","webkit","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","get started link","chromium","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","Data Driven Test using Trends06208 and J5TKD6","chromium","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","has title","webkit","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","Data Driven Test using Trends062 and HYT56","chromium","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Data Driven Test using Trends0620 and JKIY","chromium","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","3","Data Driven Test using Trends062 and HYT56","firefox","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Adactin login","webkit","2026-04-09","failed","2026-04-09","","AdactinloginFixture.spec.js","",""
"","4","Data Driven Test using Trends06206 and RTRR54","firefox","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","5","Adactin login","firefox","2026-04-09","failed","2026-04-09","","AdactinloginFixture.spec.js","",""
"","4","Data Driven Test using Trends06208 and J5TKD6","webkit","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Data Driven Test using Trends06207 and KKHHYY","webkit","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Adactin Hotel App","chromium","2026-04-09","failed","2026-04-09","","adactinWithJson.spec.js","",""
"","4","Data Driven Test using Trends062 and HYT56","webkit","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Data Driven Test using Trends06206 and RTRR54","webkit","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Adactin Hotel App","firefox","2026-04-09","failed","2026-04-09","","AdactinApp.spec.js","",""
"","4","Adactin Hotel App","firefox","2026-04-09","failed","2026-04-09","","adactinWithJson.spec.js","",""
"","4","Data Driven Test using Trends06207 and KKHHYY","firefox","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Adactin Hotel App","chromium","2026-04-09","failed","2026-04-09","","AdactinApp.spec.js","",""
"","4","Data Driven Test using Trends0620 and JKIY","firefox","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Data Driven Test using Trends0620 and JKIY","webkit","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","Data Driven Test using Trends06206 and RTRR54","chromium","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","has title","firefox","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","4","has title","chromium","2026-04-09","failed","2026-04-09","","example.spec.js","",""
"","3","Data Driven Test using Trends06208 and J5TKD6","firefox","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","3","Adactin Hotel App","webkit","2026-04-09","failed","2026-04-09","","AdactinApp.spec.js","",""
"","4","Adactin Hotel App","webkit","2026-04-09","failed","2026-04-09","","adactinWithJson.spec.js","",""
"","4","Data Driven Test using Trends06207 and KKHHYY","chromium","2026-04-09","failed","2026-04-09","","AdactinLoginDD.spec.js","",""
"","4","get started link","firefox","2026-04-09","failed","2026-04-09","","example.spec.js","",""
